"Distributor",  "name",                                                     "Unit price",   "qty",      "Price",    "shipping", "total(USD)",    "link"
"HOME DEPOT",   "(By-the-Foot) 18/2 Brown Solid CU CL2 Thermostat Wire ",   "$0.26",        "6",        "$1.56",    ,           "$1.56",        "https://www.homedepot.com/p/Southwire-By-the-Foot-18-2-Brown-Solid-CU-CL2-Thermostat-Wire-64162199/204632887"
"HOME DEPOT",   "wire nuts",                                                "$5.42",        "1",        "$5.42",    ,           "$5.42",        "https://www.homedepot.com/p/Commercial-Electric-Standard-Wire-Connector-Assortment-30-Pack-ESA-30/315849553"
"HOME DEPOT",   "shipping, taxes, tariffs",                                 ,               ,           "$0.00",    "$0.00",    "$0.00",
"TINYSINE",     "tower pro sg90 motor",                                     "$1.90",        "16",       "$30.40",   ,           "$30.40",       "https://www.tinyosshop.com/sg90-micro-servo?filter_name=sg90&filter_description=true&filter_sub_category=true"
"TINYSINE",     "shipping, taxes, tariffs",                                 ,               ,           ,           "$12.00",   ,
"BUDDY RC",     "XT60 Male Connectors for Charger",                         "$2.69",        "1",        "$2.69",    ,           "$2.69",        "https://www.buddyrc.com/products/xt60-device-kit-charger-side-4-pcs?variant=44442952564974"
"BUDDY RC",     "Gens Ace 3s 2200mAh XT60 plug",                            "$16.49",       "2",        "$32.98",   ,           "$32.98",       "https://www.buddyrc.com/products/gens-ace-bashing-11-1v-2200mah-35c-3s1p-g-tech-lipo-battery-pack-with-xt60-plug?variant=44339949142254"
"BUDDY RC",     "voltage checker/alarm",                                    "$4.49",        "2",        "$4.49",    ,           "$4.49",        "https://www.buddyrc.com/products/aok-digital-voltage-checker-and-alarm?variant=30735569715286"
"BUDDY RC",     "mini charger(psu not included)",                           "$24.99",       "1",        "$24.99",   ,           "$24.99",       "https://www.buddyrc.com/products/gens-ace-imars-mini-g-tech-60w-rc-battery-charger-eco-friendly-version?variant=44104142782702"
"BUDDY RC",     "ztw 6a UBEC",                                              "$14.99",       "2",        "$29.98",   ,           "$29.98",       "https://www.buddyrc.com/products/ztw-6a-ubec?variant=30274461466710"
"BUDDY RC",     "shipping, taxes, tariffs",                                 ,               ,           "$0.00",    "$0.00",    "$0.00",